name,original_price,discounted_price,rating,rating_number,link
"Meizu C9 (Gold, 16 GB)  (2 GB RAM)","6,999","3,790",4.1,"1,261",https://www.flipkart.com/meizu-c9-gold-16-gb/p/itmfe39jdm4yndmh?pid=MOBFFT8YB8FJBXZF&lid=LSTMOBFFT8YB8FJBXZFC3D1DR&marketplace=FLIPKART&srno=s_9_194&otracker=search&fm=organic&iid=eeae2728-08f7-4cee-a849-12d1949fd214.MOBFFT8YB8FJBXZF.SEARCH&ssid=x9w3svc7f40000001586926557254&qH=1036ba3c4ed2c021
"Honor 10 Lite (Sapphire Blue, 32 GB)  (3 GB RAM)","13,999","8,499",4.4,"26,479",https://www.flipkart.com/honor-10-lite-sapphire-blue-32-gb/p/itmfcskyfwjeaafh?pid=MOBFEMY3UZZUND2Z&lid=LSTMOBFEMY3UZZUND2ZS1IQDW&marketplace=FLIPKART&srno=s_17_401&otracker=search&fm=organic&iid=73eaf9c2-17b2-4b2a-918b-029a2f4d506d.MOBFEMY3UZZUND2Z.SEARCH&ssid=1g8afpin1c0000001586926557812&qH=1036ba3c4ed2c021
"Nokia 7.2 (Cyan Green, 64 GB)  (4 GB RAM)","21,099","16,399",4.2,"1,090",https://www.flipkart.com/nokia-7-2-cyan-green-64-gb/p/itm1083ed973e149?pid=MOBFKDWBXFHWUQCG&lid=LSTMOBFKDWBXFHWUQCGR6SBNZ&marketplace=FLIPKART&srno=s_20_472&otracker=search&fm=organic&iid=89dae1c5-4b27-4f3b-a8ef-5f1354b41ba1.MOBFKDWBXFHWUQCG.SEARCH&ssid=2yz77yr7f40000001586926554439&qH=1036ba3c4ed2c021
"Realme X2 Pro (Neptune Blue, 64 GB)  (6 GB RAM)","29,999","29,999",4.5,441,https://www.flipkart.com/realme-x2-pro-neptune-blue-64-gb/p/itma3203d88190a3?pid=MOBFM2WZG3BJWSBT&lid=LSTMOBFM2WZG3BJWSBTDJHSXS&marketplace=FLIPKART&srno=s_6_143&otracker=search&fm=organic&iid=83df86fa-e3ee-47d2-a6a3-cca53df8c67f.MOBFM2WZG3BJWSBT.SEARCH&ssid=s5oh2kcc5s0000001586926558778&qH=1036ba3c4ed2c021
"POCO F1 (Graphite Black, 128 GB)  (6 GB RAM)","24,999","18,999",4.5,"2,36,950",https://www.flipkart.com/poco-f1-graphite-black-128-gb/p/itmf8ht2asd5zvm9?pid=MOBF85V7WEHZ2SFE&lid=LSTMOBF85V7WEHZ2SFE0ICEMQ&marketplace=FLIPKART&srno=s_19_435&otracker=search&fm=organic&iid=bd583aed-3d31-404b-901e-91fb1ef32b50.MOBF85V7WEHZ2SFE.SEARCH&ssid=zfwcj21l9c0000001586926562237&qH=1036ba3c4ed2c021
"OPPO A31 (Fantasy White, 64 GB)  (4 GB RAM)","12,990","12,490",4.4,196,https://www.flipkart.com/oppo-a31-fantasy-white-64-gb/p/itm82e19f459118a?pid=MOBFPBD67MFNGTHM&lid=LSTMOBFPBD67MFNGTHMBD7BNP&marketplace=FLIPKART&srno=s_4_82&otracker=search&fm=organic&iid=952d63c0-869f-4922-93ee-7875cce07b3d.MOBFPBD67MFNGTHM.SEARCH&ssid=05rijs4j4w0000001586926554582&qH=1036ba3c4ed2c021
"OPPO A3s (Purple, 32 GB)  (3 GB RAM)","13,990","8,990",4.3,"24,677",https://www.flipkart.com/oppo-a3s-purple-32-gb/p/itmf7fnvj5bgww6r?pid=MOBF7MV6VEXM7CJF&lid=LSTMOBF7MV6VEXM7CJFIPMSZA&marketplace=FLIPKART&srno=s_9_213&otracker=search&fm=organic&iid=eeae2728-08f7-4cee-a849-12d1949fd214.MOBF7MV6VEXM7CJF.SEARCH&ssid=x9w3svc7f40000001586926557254&qH=1036ba3c4ed2c021
"OPPO Reno 10x Zoom (Jet Black, 128 GB)  (6 GB RAM)","41,990","38,990",4.5,"5,589",https://www.flipkart.com/oppo-reno-10x-zoom-jet-black-128-gb/p/itmfgw7vk4eebbhc?pid=MOBFGPMNGKWJKPZ5&lid=LSTMOBFGPMNGKWJKPZ5RTQFI5&marketplace=FLIPKART&srno=s_21_491&otracker=search&fm=organic&iid=4bcceeea-ecda-46f6-9442-c34b13bc2776.MOBFGPMNGKWJKPZ5.SEARCH&ssid=ls1vhu17wg0000001586926556764&qH=1036ba3c4ed2c021
"Yuho O1 (Onyx Black, 16 GB)  (2 GB RAM)","4,699","4,699",3.6,-1,https://www.flipkart.com/yuho-o1-onyx-black-16-gb/p/itmf5pw5bfuyjkkn?pid=MOBF5PW5HZSHDHGA&lid=LSTMOBF5PW5HZSHDHGARF4C6G&marketplace=FLIPKART&srno=s_19_439&otracker=search&fm=organic&iid=bd583aed-3d31-404b-901e-91fb1ef32b50.MOBF5PW5HZSHDHGA.SEARCH&ssid=zfwcj21l9c0000001586926562237&qH=1036ba3c4ed2c021
"Samsung Galaxy M30s (Blue, 128 GB)  (6 GB RAM)","18,500","17,899",4.3,340,https://www.flipkart.com/samsung-galaxy-m30s-blue-128-gb/p/itmf9481d84cc2f3?pid=MOBFZ7HFZQXTJYAY&lid=LSTMOBFZ7HFZQXTJYAYLKZZPH&marketplace=FLIPKART&srno=s_5_99&otracker=search&fm=organic&iid=15a09bb9-81a6-4a61-a7c9-b1adb7aedc1f.MOBFZ7HFZQXTJYAY.SEARCH&ssid=q7fnt4mzxs0000001586926557092&qH=1036ba3c4ed2c021
"Lenovo K9 Note (Gold, 64 GB)  (4 GB RAM)","11,999","7,499",4.1,"1,307",https://www.flipkart.com/lenovo-k9-note-gold-64-gb/p/itmf9wa87yfruhau?pid=MOBF9WA8DXTBQWGD&lid=LSTMOBF9WA8DXTBQWGDIU9QHL&marketplace=FLIPKART&srno=s_9_204&otracker=search&fm=organic&iid=eeae2728-08f7-4cee-a849-12d1949fd214.MOBF9WA8DXTBQWGD.SEARCH&ssid=x9w3svc7f40000001586926557254&qH=1036ba3c4ed2c021
"Micromax Infinity N12 (Blue Lagoon, 32 GB)  (3 GB RAM)","14,999","6,699",4.1,"3,123",https://www.flipkart.com/micromax-infinity-n12-blue-lagoon-32-gb/p/itmfdc85jg9zxew5?pid=MOBFBX66ZGAGHGNH&lid=LSTMOBFBX66ZGAGHGNHSBUQAV&marketplace=FLIPKART&srno=s_20_462&otracker=search&fm=organic&iid=89dae1c5-4b27-4f3b-a8ef-5f1354b41ba1.MOBFBX66ZGAGHGNH.SEARCH&ssid=2yz77yr7f40000001586926554439&qH=1036ba3c4ed2c021
"Panasonic P101 (Black, 16 GB)  (2 GB RAM)","7,999","7,999",4,"8,141",https://www.flipkart.com/panasonic-p101-black-16-gb/p/itmf8xnphkcknfr2?pid=MOBF8XNPXTPJFZBM&lid=LSTMOBF8XNPXTPJFZBMUHT0SI&marketplace=FLIPKART&srno=s_19_440&otracker=search&fm=organic&iid=bd583aed-3d31-404b-901e-91fb1ef32b50.MOBF8XNPXTPJFZBM.SEARCH&ssid=zfwcj21l9c0000001586926562237&qH=1036ba3c4ed2c021
"Itel A46 (Dark Water, 16 GB)  (1 GB RAM)","4,999","4,699",4,3,https://www.flipkart.com/itel-a46-dark-water-16-gb/p/itmfgc7jdqavgdbh?pid=MOBFHSUXKNDZ9VXA&lid=LSTMOBFHSUXKNDZ9VXAQY4AJD&marketplace=FLIPKART&srno=s_22_512&otracker=search&fm=organic&iid=f830f1cc-5678-4552-9eef-fb8f4cccaaec.MOBFHSUXKNDZ9VXA.SEARCH&ssid=j7e12mwe000000001586926558397&qH=1036ba3c4ed2c021
"Redmi Note 8 Pro (Electric Blue, 128 GB)  (8 GB RAM)","19,999","18,499",4.4,"2,334",https://www.flipkart.com/redmi-note-8-pro-electric-blue-128-gb/p/itmd45b1968a31c4?pid=MOBFNY49X7TJHRCW&lid=LSTMOBFNY49X7TJHRCWW9PRAO&marketplace=FLIPKART&srno=s_4_78&otracker=search&fm=organic&iid=952d63c0-869f-4922-93ee-7875cce07b3d.MOBFNY49X7TJHRCW.SEARCH&ssid=05rijs4j4w0000001586926554582&qH=1036ba3c4ed2c021
"Asus ZenFone Max M2 (Silver, 32 GB)  (3 GB RAM)","12,999","7,499",4.3,"98,658",https://www.flipkart.com/asus-zenfone-max-m2-silver-32-gb/p/itmfdwgbbgr6hthg?pid=MOBFDWGBTYRZRHMN&lid=LSTMOBFDWGBTYRZRHMNVJGCJQ&marketplace=FLIPKART&srno=s_8_178&otracker=search&fm=organic&iid=eb0fd53b-e25f-4548-9917-c80957941831.MOBFDWGBTYRZRHMN.SEARCH&ssid=zcfy0xaw9s0000001586926555352&qH=1036ba3c4ed2c021
"Apple iPhone 11 Pro (Midnight Green, 64 GB)","1,06,600","1,06,600",4.7,"1,129",https://www.flipkart.com/apple-iphone-11-pro-midnight-green-64-gb/p/itm471de0d2e8474?pid=MOBFKCTSN3TG3RFJ&lid=LSTMOBFKCTSN3TG3RFJWPVPDJ&marketplace=FLIPKART&srno=s_17_394&otracker=search&fm=organic&iid=73eaf9c2-17b2-4b2a-918b-029a2f4d506d.MOBFKCTSN3TG3RFJ.SEARCH&ssid=1g8afpin1c0000001586926557812&qH=1036ba3c4ed2c021
"Samsung Galaxy A80 (Phantom Black, 128 GB)  (8 GB RAM)","52,000","41,999",4.1,248,https://www.flipkart.com/samsung-galaxy-a80-phantom-black-128-gb/p/itmfghz3gneezbyh?pid=MOBFGHZ2CHC2SYSA&lid=LSTMOBFGHZ2CHC2SYSA3ZNXFG&marketplace=FLIPKART&srno=s_23_529&otracker=search&fm=organic&iid=0b21f543-7eab-4104-adac-629a9d3ae850.MOBFGHZ2CHC2SYSA.SEARCH&ssid=q2q9c51ggg0000001586926560182&qH=1036ba3c4ed2c021
"Vivo S1 Pro (Jazzy Blue, 128 GB)  (8 GB RAM)","20,990","20,990",4.5,"4,805",https://www.flipkart.com/vivo-s1-pro-jazzy-blue-128-gb/p/itm60bf6c78dfe9a?pid=MOBFNENDCBPGQX3C&lid=LSTMOBFNENDCBPGQX3CIDLSU3&marketplace=FLIPKART&srno=s_5_118&otracker=search&fm=organic&iid=15a09bb9-81a6-4a61-a7c9-b1adb7aedc1f.MOBFNENDCBPGQX3C.SEARCH&ssid=q7fnt4mzxs0000001586926557092&qH=1036ba3c4ed2c021
"Redmi 4A (Gold, 32 GB)  (3 GB RAM)","6,999","6,999",4.4,"2,08,528",https://www.flipkart.com/redmi-4a-gold-32-gb/p/itmex4f4zsykyh6g?pid=MOBEWV2NK5KU2D6N&lid=LSTMOBEWV2NK5KU2D6N5OGPPD&marketplace=FLIPKART&srno=s_9_211&otracker=search&fm=organic&iid=eeae2728-08f7-4cee-a849-12d1949fd214.MOBEWV2NK5KU2D6N.SEARCH&ssid=x9w3svc7f40000001586926557254&qH=1036ba3c4ed2c021
"XOLO ERA 2-4G with VoLTE (Nile Blue, 8 GB)  (1 GB RAM)","5,299","5,299",3.9,"11,476",https://www.flipkart.com/xolo-era-2-4g-volte-nile-blue-8-gb/p/itmeuyd57byd4uxh?pid=MOBERPEQBTDGGNMM&lid=LSTMOBERPEQBTDGGNMMBJXA81&marketplace=FLIPKART&srno=s_17_393&otracker=search&fm=organic&iid=73eaf9c2-17b2-4b2a-918b-029a2f4d506d.MOBERPEQBTDGGNMM.SEARCH&ssid=1g8afpin1c0000001586926557812&qH=1036ba3c4ed2c021
"OPPO Reno 10x Zoom (Ocean Green, 128 GB)  (6 GB RAM)","41,990","38,990",4.5,"5,589",https://www.flipkart.com/oppo-reno-10x-zoom-ocean-green-128-gb/p/itmfgw7vk4eebbhc?pid=MOBFGPMN5WXCWHAK&lid=LSTMOBFGPMN5WXCWHAKRYKAHY&marketplace=FLIPKART&srno=s_21_489&otracker=search&fm=organic&iid=4bcceeea-ecda-46f6-9442-c34b13bc2776.MOBFGPMN5WXCWHAK.SEARCH&ssid=ls1vhu17wg0000001586926556764&qH=1036ba3c4ed2c021
"Redmi Note 8 Pro (Halo White, 128 GB)  (6 GB RAM)","17,999","16,299",4.5,"15,988",https://www.flipkart.com/redmi-note-8-pro-halo-white-128-gb/p/itmc585e6c8ffd12?pid=MOBFHGT9NWZHHSHF&lid=LSTMOBFHGT9NWZHHSHFG04B0D&marketplace=FLIPKART&srno=s_4_79&otracker=search&fm=organic&iid=952d63c0-869f-4922-93ee-7875cce07b3d.MOBFHGT9NWZHHSHF.SEARCH&ssid=05rijs4j4w0000001586926554582&qH=1036ba3c4ed2c021
"Honor 20 (Midnight Black, 128 GB)  (6 GB RAM)","35,999","22,999",4.4,"1,310",https://www.flipkart.com/honor-20-midnight-black-128-gb/p/itmfggkavk6yua6x?pid=MOBFGGKA3ZDTJJZG&lid=LSTMOBFGGKA3ZDTJJZGEJXD8Y&marketplace=FLIPKART&srno=s_11_250&otracker=search&fm=organic&iid=b6c11b51-f48d-4f74-b7d2-3f6bf7f33211.MOBFGGKA3ZDTJJZG.SEARCH&ssid=6hjarsxbgg0000001586926561694&qH=1036ba3c4ed2c021
"Moto G (3rd Generation) (White, 16 GB)  (2 GB RAM)","10,999","10,999",4.3,"2,00,035",https://www.flipkart.com/moto-g-3rd-generation-white-16-gb/p/itmevt7xpsh38yhy?pid=MOBE6KK9YZJBYGUC&lid=LSTMOBE6KK9YZJBYGUCWBZP5G&marketplace=FLIPKART&srno=s_19_452&otracker=search&fm=organic&iid=bd583aed-3d31-404b-901e-91fb1ef32b50.MOBE6KK9YZJBYGUC.SEARCH&ssid=zfwcj21l9c0000001586926562237&qH=1036ba3c4ed2c021
"Tecno Camon i4 (Nebula Black, 32 GB)  (3 GB RAM)","12,430","12,425",3.8,73,https://www.flipkart.com/tecno-camon-i4-nebula-black-32-gb/p/itmffthj5yrmagms?pid=MOBFESRFBZDGD2JV&lid=LSTMOBFESRFBZDGD2JVGTWEIW&marketplace=FLIPKART&srno=s_23_535&otracker=search&fm=organic&iid=0b21f543-7eab-4104-adac-629a9d3ae850.MOBFESRFBZDGD2JV.SEARCH&ssid=q2q9c51ggg0000001586926560182&qH=1036ba3c4ed2c021
"Redmi Note 8 Pro (Gamma Green, 64 GB)  (6 GB RAM)","16,999","14,849",4.5,"15,988",https://www.flipkart.com/redmi-note-8-pro-gamma-green-64-gb/p/itmb5a411e20719e?pid=MOBFHHRQDRRMKU94&lid=LSTMOBFHHRQDRRMKU944TKUNK&marketplace=FLIPKART&srno=s_4_80&otracker=search&fm=organic&iid=952d63c0-869f-4922-93ee-7875cce07b3d.MOBFHHRQDRRMKU94.SEARCH&ssid=05rijs4j4w0000001586926554582&qH=1036ba3c4ed2c021
"Apple iPhone 6s (Space Grey, 32 GB)","29,900","25,299",4.5,"91,364",https://www.flipkart.com/apple-iphone-6s-space-grey-32-gb/p/itmen2yyjfzpspyg?pid=MOBEN2YYKU9386TQ&lid=LSTMOBEN2YYKU9386TQCCN1OM&marketplace=FLIPKART&srno=s_10_240&otracker=search&fm=organic&iid=3bde488b-5f0f-4099-86f7-d07b607d9fd5.MOBEN2YYKU9386TQ.SEARCH&ssid=apxc2txov40000001586926558982&qH=1036ba3c4ed2c021
"Lava Z41 (Midnight Blue, 16 GB)  (1 GB RAM)","4,999","4,199",4,38,https://www.flipkart.com/lava-z41-midnight-blue-16-gb/p/itm22f4d7d384874?pid=MOBFHF5EDMJYEUQW&lid=LSTMOBFHF5EDMJYEUQWK51YH5&marketplace=FLIPKART&srno=s_17_407&otracker=search&fm=organic&iid=73eaf9c2-17b2-4b2a-918b-029a2f4d506d.MOBFHF5EDMJYEUQW.SEARCH&ssid=1g8afpin1c0000001586926557812&qH=1036ba3c4ed2c021
"I Kall K110 (Blue, 16 GB)  (2 GB RAM)","6,999","3,499",3.7,319,https://www.flipkart.com/kall-k110-blue-16-gb/p/itm6b16206dff899?pid=MOBFNGWCZNUTR94A&lid=LSTMOBFNGWCZNUTR94ALXFL38&marketplace=FLIPKART&srno=s_22_513&otracker=search&fm=organic&iid=f830f1cc-5678-4552-9eef-fb8f4cccaaec.MOBFNGWCZNUTR94A.SEARCH&ssid=j7e12mwe000000001586926558397&qH=1036ba3c4ed2c021
"Samsung Galaxy M30 (Gradation Blue, 64 GB)  (4 GB RAM)","12,673","12,279",4.4,"3,387",https://www.flipkart.com/samsung-galaxy-m30-gradation-blue-64-gb/p/itmfehwz8b6bsvae?pid=MOBFEHSMHMYUMWYK&lid=LSTMOBFEHSMHMYUMWYKPXB4N5&marketplace=FLIPKART&srno=s_5_97&otracker=search&fm=organic&iid=15a09bb9-81a6-4a61-a7c9-b1adb7aedc1f.MOBFEHSMHMYUMWYK.SEARCH&ssid=q7fnt4mzxs0000001586926557092&qH=1036ba3c4ed2c021
"Realme 6 Pro (Lightning Orange, 128 GB)  (8 GB RAM)","19,999","19,999",4.5,"2,726",https://www.flipkart.com/realme-6-pro-lightning-orange-128-gb/p/itmddcf565f06b39?pid=MOBFPCX7FCHNRHVW&lid=LSTMOBFPCX7FCHNRHVWOIHIBL&marketplace=FLIPKART&srno=s_8_174&otracker=search&fm=organic&iid=eb0fd53b-e25f-4548-9917-c80957941831.MOBFPCX7FCHNRHVW.SEARCH&ssid=zcfy0xaw9s0000001586926555352&qH=1036ba3c4ed2c021
