name,original_price,discounted_price,rating,rating_number,link
"POCO F1 (Graphite Black, 128 GB)  (6 GB RAM)",24999,18999,4.5,236950,https://www.flipkart.com/poco-f1-graphite-black-128-gb/p/itmf8ht2asd5zvm9?pid=MOBF85V7WEHZ2SFE&lid=LSTMOBF85V7WEHZ2SFE0ICEMQ&marketplace=FLIPKART&srno=s_19_435&otracker=search&fm=organic&iid=bd583aed-3d31-404b-901e-91fb1ef32b50.MOBF85V7WEHZ2SFE.SEARCH&ssid=zfwcj21l9c0000001586926562237&qH=1036ba3c4ed2c021
"Vivo Z1Pro (Sonic Blue, 64 GB)  (6 GB RAM)",17990,14990,4.5,126065,https://www.flipkart.com/vivo-z1pro-sonic-blue-64-gb/p/itmfghyebfrvjzfs?pid=MOBFHHT5ZETVHC4H&lid=LSTMOBFHHT5ZETVHC4H1MJSRL&marketplace=FLIPKART&srno=s_2_25&otracker=search&fm=organic&iid=f92c8823-72bf-499d-b6cf-eec8c085d2a6.MOBFHHT5ZETVHC4H.SEARCH&ssid=mqgbncspts0000001586926558907&qH=1036ba3c4ed2c021
"Realme XT (Pearl Blue, 128 GB)  (8 GB RAM)",19999,19999,4.5,70084,https://www.flipkart.com/realme-xt-pearl-blue-128-gb/p/itm731360fdbd273?pid=MOBFJYBEHKJFKZDK&lid=LSTMOBFJYBEHKJFKZDKUEB0TY&marketplace=FLIPKART&srno=s_3_62&otracker=search&fm=organic&iid=c7942e6f-8fa5-4a72-88a9-5564ba5c91fb.MOBFJYBEHKJFKZDK.SEARCH&ssid=cjeu2cii1s0000001586926561863&qH=1036ba3c4ed2c021
"Redmi Note 7 Pro (Space Black, 64 GB)  (4 GB RAM)",15999,10999,4.5,783264,https://www.flipkart.com/redmi-note-7-pro-space-black-64-gb/p/itmfegkx2gufuzhp?pid=MOBFDXZ36Y4DJBGM&lid=LSTMOBFDXZ36Y4DJBGM2SHASI&marketplace=FLIPKART&srno=s_2_44&otracker=search&fm=organic&iid=f92c8823-72bf-499d-b6cf-eec8c085d2a6.MOBFDXZ36Y4DJBGM.SEARCH&ssid=mqgbncspts0000001586926558907&qH=1036ba3c4ed2c021
"Redmi Note 7 Pro (Nebula Red, 64 GB)  (6 GB RAM)",16999,12999,4.5,254178,https://www.flipkart.com/redmi-note-7-pro-nebula-red-64-gb/p/itmfhuq4xscxhjud?pid=MOBFHUQ4XG4HZ4SH&lid=LSTMOBFHUQ4XG4HZ4SHISDCF1&marketplace=FLIPKART&srno=s_9_202&otracker=search&fm=organic&iid=eeae2728-08f7-4cee-a849-12d1949fd214.MOBFHUQ4XG4HZ4SH.SEARCH&ssid=x9w3svc7f40000001586926557254&qH=1036ba3c4ed2c021
"Realme 5 Pro (Sparkling Blue, 128 GB)  (8 GB RAM)",17999,16999,4.5,58622,https://www.flipkart.com/realme-5-pro-sparkling-blue-128-gb/p/itmfj9twdugyvg77?pid=MOBFJ9TWAEBGAYFR&lid=LSTMOBFJ9TWAEBGAYFRYARMRA&marketplace=FLIPKART&srno=s_2_38&otracker=search&fm=organic&iid=f92c8823-72bf-499d-b6cf-eec8c085d2a6.MOBFJ9TWAEBGAYFR.SEARCH&ssid=mqgbncspts0000001586926558907&qH=1036ba3c4ed2c021
"Realme 3 Pro (Nitro Blue, 128 GB)  (6 GB RAM)",19999,16999,4.5,122154,https://www.flipkart.com/realme-3-pro-nitro-blue-128-gb/p/itmfgzr2jckcttnx?pid=MOBFFMG3WTXWFUAT&lid=LSTMOBFFMG3WTXWFUATW6ZLCL&marketplace=FLIPKART&srno=s_12_277&otracker=search&fm=organic&iid=3e4fd231-92fb-4928-b778-06f9edbcc09a.MOBFFMG3WTXWFUAT.SEARCH&ssid=m6ruv4qwls0000001586926554563&qH=1036ba3c4ed2c021
"Redmi Note 7 (Onyx Black, 64 GB)  (4 GB RAM)",10799,10799,4.5,173630,https://www.flipkart.com/redmi-note-7-onyx-black-64-gb/p/itmfdzvfrnfsuywx?pid=MOBFDXZ39EGFJDFJ&lid=LSTMOBFDXZ39EGFJDFJ79MWYY&marketplace=FLIPKART&srno=s_13_311&otracker=search&fm=organic&iid=65d90155-610d-441d-a0c4-1e00d0bdd1ab.MOBFDXZ39EGFJDFJ.SEARCH&ssid=y6zibq9vn40000001586926557061&qH=1036ba3c4ed2c021
"Vivo Z1Pro (Sonic Blue, 64 GB)  (4 GB RAM)",15990,13990,4.5,313136,https://www.flipkart.com/vivo-z1pro-sonic-blue-64-gb/p/itmfghyebfrvjzfs?pid=MOBFHHT5NZH8XCGB&lid=LSTMOBFHHT5NZH8XCGBSRHJKG&marketplace=FLIPKART&srno=s_2_26&otracker=search&fm=organic&iid=f92c8823-72bf-499d-b6cf-eec8c085d2a6.MOBFHHT5NZH8XCGB.SEARCH&ssid=mqgbncspts0000001586926558907&qH=1036ba3c4ed2c021
"Realme 2 Pro (Black Sea, 64 GB)  (6 GB RAM)",15990,13990,4.5,90918,https://www.flipkart.com/realme-2-pro-black-sea-64-gb/p/itmf944x6fh8uzjy?pid=MOBF944XV5ZFXBJU&lid=LSTMOBF944XV5ZFXBJULT1RVT&marketplace=FLIPKART&srno=s_12_269&otracker=search&fm=organic&iid=3e4fd231-92fb-4928-b778-06f9edbcc09a.MOBF944XV5ZFXBJU.SEARCH&ssid=m6ruv4qwls0000001586926554563&qH=1036ba3c4ed2c021
